,,,,,,,,,,,,,,,,,,,,,,,,
FORD,WE123,2007,SEDAN,CHA1,AA123,AAAAIL,IL,60126,CARINSURANCE,,AAAA,,A,NYPOLICY123,,NY12318,2/2/2018,YES,FRONT,"$2,000 ",NY123,YES,AGENT,AGENTA
TOY,AVC,2009,SEDAN,CHB2,BB123,BBBB123IL,IL,60126,CARINSURANCE,,BBBB123,,B,NYPOLICY1234,,NY123418,3/5/2018,NO,REAR,"$3,500 ",NY1234,NO,AGENT1,AGENTB
HU,AS12,2018,SUV,CHC2,CC123,CCCCNY,NY,60126,CARINSURANCE,,CCCC,,C,CHPOICY2387,,CH238718,9/6/2018,YES,BUMPERS_TAIL_GATE,"$3,700 ",CH2387,YES,AGENT2,AGENTC
BMW,AQ123,2002,TRUCK,CHD3,AA123123,DDDDDC,DC,60126,CARINSURANCE,,DDDD,,D,CHPOICY23873,,CH2387317,9/16/2018,NO,GRILL,"$5,000 ",CH23873,NO,AGENT3,AGENTD
FORD,AVC,2009,SUV,NYA2,BB123543,EEEECA,CA,60126,CARINSURANCE,,EEEE,,E,WPOLICY7777,,WP777718,7/7/2018,YES,FRONT,"$2,000 ",WP7777,YES,AGENT4,AGENTE
TOY,AS12,2013,TRUCK,CAB3,CC1235432,FF123IL,IL,60126,CARINSURANCE,,FF123,,F,NYPOLICY2222,,NY222218,3/5/2018,NO,FENDERS,"$3,500 ",NY2222,NO,,
HU,ASD345,2000,SEDAN,CAC4,BB1231,AAAA1IL,IL,60126,CARINSURANCE,,AAAA1,,AA,NYPOLICY123SH,,NY123SH18,9/6/2018,YES,FRONT,"$3,700 ",NY123SH,YES,,
BMW,AS987,2017,SUV,WAA1,CC1232,BBBB1232NY,NY,60126,CARINSURANCE,,BBBB1232,,BB,NYPOLICY1234P,,NY1234P16,9/16/2018,YES,FRONT,"$5,000 ",NY1234P,YES,,
CHEV,WE123,2008,TRUCK,DCB2,AA123123S,CCCC12DC,DC,60126,CARINSURANCE,,CCCC12,,CC,CHPOICY2387EH,,CH2387EH12,7/7/2018,YES,FRONT BUMPER,"$3,700 ",CH2387EH,YES,,
FORD,AVC,2013,SEDAN,DCC2,BB123A,DDDD77CA,CA,60126,CARINSURANCE,,DDDD77,,DD,CHPOICY2388,,CH23873SO13l,3/5/2018,YES,FRONT_END_PARTS,"$5,000 ",CH23873SOl,YES,,
TOY,AS12,2013,SUV,OOD3,CC123A,EEEE66IL,IL,60126,CARINSURANCE,,EEEE66,,EE,CHPOICY2389,,W7777EHSOL14,9/6/2018,YES,REAR_END_PARTS,"$3,700 ",W7777EHSOL,YES,,
HU,AQ123,2017,TRUCK,TEA2,AA123123A,FF12377IL,IL,60126,CARINSURANCE,,FF12377,,FF,CHPOICY2390,,NY2222G18,9/16/2018,YES,CENTER_PARTS,"$5,000 ",NY2222G,YES,,
BMW,AVC,2018,SEDAN,TEXB3,BB123A,AAAA0NY,NY,60126,CARINSURANCE,,AAAA0,,AA1,CHPOICY2391,,NY123SAE17,7/7/2018,YES,FRONT_END_PARTS,"$3,700 ",NY123SAE,YES,,
FORD,AS12,1997,SUV,MIC4,CC123A,BBBB1230DC,DC,60126,CARINSURANCE,,BBBB1230,,BB2,CHPOICY2392,,NY1234SA16,2/2/2018,YES,FRONT_END_PARTS,"$5,000 ",NY1234SA,YES,,
TOY,ASD345,2000,TRUCK,CHA11,AA123123A,CCCC00CA,CA,60126,CARINSURANCE,,CCCC00,,CC3,CHPOICY2393,,CH2387SA15,3/5/2018,YES,GRILL,"$3,700 ",CH2387SA,NO,,
HU,AS987,2017,TRUCK,CHB21,BB123C,DDDD88DC,IL,60126,CARINSURANCE,,DDDD88,,DD4,CHPOICY2394,,CH23873Q14,9/6/2018,YES,GRILL,"$5,000 ",CH23873Q,NO,,
BMW,ASD345,2008,SUV,CHC21,CC123Q,EEEE897IL,IL,60126,CARINSURANCE,,EEEE897,,EE7,CHPOICY2395,,W7777WE18,2/2/2018,YES,GRILL,"$3,700 ",W7777WE,NO,,
CHEV,AS987,2013,TRUCK,CHD31,AA12312W,DFG23NY,NY,60126,CARINSURANCE,,DFG23,,FF7,CHPOICY2396,,NY2222AQ18,3/5/2018,YES,GRILL,"$5,000 ",NY2222AQ,NO,,
